channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final,n_trials,train_s
83,9,2.0,0.0031705730000000003,4.707560219685547e-05,67.35066223144531,658.9638890325558,44381.65431295128,4.185634136199951,sim,0,,38,0.03395394962162744,0.026240762348616428,wna:1.0,0.00010014933533130488,0.37710341811180115,500,3775.9
83,13,4.0,0.002496163,3.187324182363227e-05,78.31531524658203,770.9967341746001,60380.852290969015,4.8567423820495605,sim,0,,39,0.03295776437481563,0.023732168012903166,wna:1.0,8.126192577643458e-05,0.3059845566749573,500,3779.4
83,19,8.0,0.001788618,2.1729108993895352e-05,82.31437683105469,936.4917480111303,77086.7346449613,6.231229305267334,sim,0,,38,0.03211526617750078,0.02272728549014938,wna:1.0,6.457585217781251e-05,0.2431546300649643,500,2236.4
83,17,6.0,0.002058808,2.6242705644108355e-05,78.45258331298828,881.3224612478526,69142.02381665504,5.514059066772461,sim,0,,37,0.032530954442036665,0.022905170914970137,wna:1.0,7.289478259904295e-05,0.27447882294654846,500,2791.1
83,21,10.0,0.001586739,1.941468144650571e-05,81.72882080078125,978.0369983558733,79933.81057516116,6.552802562713623,sim,0,,37,0.03222722968942654,0.022633563247061807,wna:1.0,6.31943111583881e-05,0.2379525601863861,500,2762.2
83,23,20.0,0.001055093,1.4627768905484118e-05,72.12945556640625,1146.8964810103416,82725.01876630312,7.3944807052612305,sim,0,,37,0.03446125338626003,0.023768689950637835,wna:1.0,6.087316553352132e-05,0.22921249270439148,500,2766.1
83,25,26.0,0.0008937270000000001,1.385552513966104e-05,64.5032958984375,1241.4861912730794,80079.95114951162,7.575381755828857,sim,0,,38,0.036240439822438957,0.02468114967229485,wna:1.0,6.054676481814599e-05,0.22798345983028412,500,2321.5
91,3,1.0,0.001998614,6.211977597558871e-05,32.17355728149414,621.4467507006982,19994.15263106732,92.85204315185547,sim,0,,36,0.0425156843730397,0.04042531695605046,wna:1.0,0.00014137252799749413,0.5323256850242615,500,2313.6
91,5,1.4,0.001870085,5.723529466195032e-05,32.67363357543945,611.4388464874846,19977.928823921447,42.32978820800781,sim,0,,36,0.04716507311431843,0.04365619357695296,wna:1.0,0.00014501691056754065,0.5460482835769653,500,2850.5
91,1,0.6,0.002080556,7.241459388751537e-05,28.731170654296875,797.8533251351656,22923.260041556652,548.8418579101562,sim,0,,37,0.03902079040130629,0.038913714650729354,wna:1.0,0.00011298477169039307,0.4254341125488281,500,3904.5
83,29,40.0,0.000670369,1.1541617823240813e-05,58.082759857177734,1378.518476808223,80068.15764713446,7.893232345581055,sim,0,,38,0.03808359590979925,0.026371421181681984,wna:1.0,5.604280377374889e-05,0.2110241949558258,500,3907.3
83,27,30.0,0.000813756,1.3130492334312294e-05,61.974525451660156,1277.3754182207285,79164.73536784558,8.393900871276855,sim,0,,38,0.036509390393487925,0.025515955137843657,wna:1.0,5.9586874684666014e-05,0.224369078874588,500,3908.9
91,11,3.0,0.0014831010000000001,5.2088620577706024e-05,28.47264862060547,768.4158447827215,21878.834343004142,107.36459350585938,sim,0,,38,0.04175974710609496,0.04009974113559833,wna:1.0,0.00013492332886290922,0.5080417990684509,500,2048.6
91,7,1.8,0.001754325,5.12332990183495e-05,34.24189376831055,604.4090484750512,20696.110430488363,51.001033782958984,sim,0,,39,0.04492063855459628,0.040999052233936184,wna:1.0,0.00014269008214551002,0.5372868180274963,500,3312.6
91,9,2.0,0.00169956,5.227583460509777e-05,32.51138687133789,645.2218868389172,20977.058380874634,59.1854133605957,sim,0,,38,0.04371583751506358,0.04035904978394346,wna:1.0,0.00014051029412140472,0.529079020023346,500,3321.8
91,13,4.0,0.001322959,5.01216491102241e-05,26.394962310791016,828.4418362718728,21866.691045078584,188.97979736328125,sim,0,,39,0.04131780751614258,0.040775131651509026,wna:1.0,0.00013478508967730451,0.5075212717056274,500,1979.9
91,23,20.0,0.0005004920000000001,3.248040593462065e-05,15.40904426574707,1131.5803810187938,17436.57218136953,146.38754272460938,sim,0,,37,0.07165525509586963,0.07111014982640573,wna:1.0,0.00014673642368040945,0.5525229573249817,500,1940.5
91,29,40.0,0.000280232,2.584914727776777e-05,10.84105396270752,1464.005726531558,15871.365083041446,128.23074340820312,sim,0,,38,0.09793839197744227,0.09758434668066442,wna:1.0,0.00014880488270046596,0.5603115558624268,500,1725.9
91,15,5.0,0.001194072,4.792997060576454e-05,24.912843704223633,870.537859989046,21687.57364451642,287.90582275390625,sim,0,,38,0.04315621878630979,0.04284074434776953,wna:1.0,0.00013570646263474272,0.5109906196594238,500,3835.9
91,17,6.0,0.001091107,4.562981484923512e-05,23.912151336669922,886.3657775669385,21194.912612825745,246.964111328125,sim,0,,37,0.045351152746162596,0.04500570647273698,wna:1.0,0.00013857174796018916,0.5217795968055725,500,4076.7
91,21,10.0,0.000809598,4.5092529035173357e-05,17.95414924621582,1042.318318050006,18713.938644334456,175.2576904296875,sim,0,,37,0.06034897887964853,0.060132364856237366,wna:1.0,0.0001446868017874421,0.5448052883148193,500,4077.8
91,19,8.0,0.000927844,4.735560287372209e-05,19.593120574951172,998.206984309567,19557.98980233574,240.9095916748047,sim,0,,38,0.054758707921644105,0.05454733117997044,wna:1.0,0.00014077711648629115,0.5300837159156799,500,4079.2
91,27,30.0,0.00035906,2.9808355975546874e-05,12.045616149902344,1288.0126481601817,15514.90595595677,132.34910583496094,sim,0,,38,0.08965080882924925,0.08953036565456991,wna:1.0,0.00015564013213374865,0.5860490798950195,500,3534.7
91,25,26.0,0.00040550199999999997,3.1747233151691034e-05,12.77283000946045,1254.3119125535177,16021.112837887302,105.2220230102539,sim,0,,38,0.08549697696628528,0.0847163399017092,wna:1.0,0.00015203317054558345,0.5724673867225647,500,3534.0
