channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,BI,J_final
41,19,8.0,0.001118979,0.00016988023708108813,6.586869716644287,2134.720546150903,14061.126118939736,0.0001784631478264157,0.6719871163368225
41,23,20.0,0.000817918,8.3786784671247e-05,9.761897087097168,1886.8780649419216,18419.509485864084,0.00014840436422180222,0.5588034391403198
41,17,6.0,0.0011481570000000001,0.000193651212612167,5.928995132446289,2331.4457469356025,13823.13048514379,0.00018199944644371873,0.685302734375
41,15,5.0,0.00116883,0.0001964968687389046,5.948338985443115,2237.648321432562,13310.290746088656,0.0001863306243356285,0.7016113996505737
83,1,0.6,0.0033347790000000004,0.00010367330105509609,32.16622543334961,588.5976471617157,18932.96460814292,0.00017187208454647534,0.6471690535545349
41,25,26.0,0.000707622,6.668496644124389e-05,10.611416816711426,1903.7284357562185,20201.255937635273,0.0001375330624406856,0.5178685188293457
41,27,30.0,0.000650169,6.366420711856335e-05,10.212472915649414,1984.2887159219408,20264.494768181576,0.00013533947107639398,0.5096087455749512
71,9,2.0,0.00494817,0.00017978028336074203,27.52342987060547,1554.1539683226079,42775.64775525049,9.880208500646609e-05,0.37203046679496765
71,7,1.8,0.004993932,0.00018350141181144863,27.214677810668945,1492.0437020923657,40605.48863188145,0.00010207999047751714,0.38437312841415405
71,11,3.0,0.004643936,0.0001518364588264376,30.585119247436523,1663.8032389108432,50887.62046635926,8.613125189614815e-05,0.3243195712566376
71,13,4.0,0.004298046000000001,0.0001246328465640545,34.485660552978516,1669.978483424045,57590.311110139475,7.834657168377555e-05,0.29500705003738403
41,29,40.0,0.0005437380000000001,4.813030318473466e-05,11.297207832336426,2021.2527653614177,22834.512571972668,0.00012397118573049485,0.4668024778366089
71,1,0.6,0.004321273,0.00023372375289909542,18.48880386352539,983.6575665184657,18186.651816232592,0.00017010522534358663,0.6405161023139954
71,25,26.0,0.001679975,4.8694426368456334e-05,34.5003547668457,2585.852347187704,89212.82335265644,5.2147998220046506e-05,0.19635865092277527
71,23,20.0,0.002002852,5.799459540867247e-05,34.53514862060547,2459.831147130174,84950.634247735,5.474509588463051e-05,0.2061377912759781
83,11,3.0,0.002789885,4.3935935536865145e-05,63.498931884765625,684.0413174931836,43435.893025865,0.00010273777029185565,0.38684993982315063
83,13,4.0,0.002496163,3.722425390151329e-05,67.05743408203125,729.3197263948454,48906.30947744741,9.362837307431771e-05,0.35254931449890137
71,5,1.4,0.005011591,0.00018016026297118515,27.817407608032227,1277.6892132572113,35542.00164156186,0.00011302148825869835,0.42557236552238464
71,3,1.0,0.004887824000000001,0.000194303531316109,25.155611038208008,1142.2526423513893,28734.063178356875,0.0001301554699571801,0.4900888502597809
83,3,1.0,0.003472437,8.361011714441702e-05,41.53130340576172,591.1851985529096,24552.691850096373,0.0001470449884857447,0.5536848306655884
83,5,1.4,0.003395297,6.900177686475217e-05,49.20594024658203,598.9890032077627,29473.817100200904,0.00013132831064649927,0.4945050776004791
83,15,5.0,0.002248808,3.272672256571241e-05,68.71472930908203,781.0155467967331,53667.27188432221,8.853071406410199e-05,0.33335453271865845
71,19,8.0,0.0033632650000000003,0.00010172967449761927,33.06080627441406,2036.2490874540777,67320.03660677168,6.674978723742939e-05,0.251340389251709
71,21,10.0,0.0030173459999999997,9.846559987636283e-05,30.64365577697754,2248.906501158103,68914.71669609584,6.343715180265261e-05,0.23886695504188538
71,15,5.0,0.004079936,0.00013035080337431282,31.29966163635254,1875.4467145106219,58700.84758119153,7.568149810910531e-05,0.2849719524383545
71,17,6.0,0.003818313,0.00011839297076221555,32.25117874145508,1923.6344617231784,62039.47885825695,7.150212530020816e-05,0.26923489570617676
83,7,1.8,0.0032488990000000004,6.142448546597734e-05,52.89257049560547,630.134376140765,33329.42691172978,0.0001200436447324056,0.45201367139816284
