channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,BI,J_final
40,5,1.4,0.026456329,0.0019280698616057634,13.721664428710938,12039.262509462531,165198.7201240052,3206635.75,4.759929899881265e-05,0.1792309284210205
40,3,1.0,0.015368000000000001,0.0023032373283058405,6.672347545623779,6869.182031211657,45833.569866398066,5.303440502757439e-06,0.00014168159934742336,0.533489465713501
40,11,3.0,0.024940998000000002,0.0010286364704370499,24.246658325195312,7326.482958332469,177642.72901605355,11348.162109375,2.13603800496479e-05,0.08043061196804047
40,13,4.0,0.009801800999999999,0.00014221449964679778,68.92266082763672,24486.953001649268,1687705.9564349535,4225.529296875,3.364417747373754e-05,0.12668415904045105
37,29,40.0,0.001616876,2.70989603450289e-05,59.665611267089844,1264.9886617223674,75476.32174760298,2.9455766677856445,6.512381074974531e-05,0.2452179193496704
40,1,0.6,0.060387586,0.0038621402345597744,15.635783195495605,3908.983557452606,61120.019419086086,1.5757040046082693e-06,0.0001427428102718411,0.5374853610992432
40,9,2.0,0.031419458,0.0016683385474607348,18.83278465270996,12948.39776928097,243854.38678649854,275606.03125,2.6444595841224575e-05,0.09957477450370789
40,7,1.8,0.038734442,0.0018424034351482987,21.023866653442383,13940.52142702382,293083.6635612051,121006.890625,2.0328489350987228e-05,0.0765451192855835
40,21,10.0,0.002312694,0.00012068689829902723,19.162757873535156,1875.6182183031992,35942.017780535614,47.07767868041992,9.555304466251342e-05,0.3597964942455292
40,19,8.0,0.0023289879999999997,0.0001242450380232185,18.745119094848633,2580.859853737936,48378.525325431234,864.2991943359375,6.114601498760034e-05,0.2302398830652237
40,17,6.0,0.002232724,0.00014628280769102275,15.263065338134766,1902.3121836001687,29035.115151819195,3.375990867614746,0.00012022915877519668,0.45271220803260803
40,15,5.0,0.0022027260000000003,0.00015439804701600224,14.266539573669434,1993.4355154659272,28439.426668952776,1.5395082235336304,0.00012336406037555576,0.46451640129089355
