channel,wp,vbias,model,n_real,nzer,bessel_order,fcut,n_pulses,rms,chi,cond,railing,t0,zeros,real_poles,param_errors
91,17,6,9p z4,9,4,6,2500,37,4.071330e-04,0.8832,1.051e+11,"",0.50006864,"-53.0138 -227.343 -4561.1 -3.60869","-9930.23 -9650.78 -466.798 -1594.1 -10347.6 -43.6399 -9371.82 -136.753 -3.31748","2.85277e-06 0.358718 1.20604 627.03 0.048361 29626.2 54420.3 2.00257 18.6941 47488.3 0.241884 13172.8 0.620584 0.0451126"
91,19,8,3p z1,3,1,6,2500,38,3.606124e-03,3.8398,1.766e+07,"",0.49998644,"-111.474","-351.319 -2972.76 -67.7481","4.01354e-06 0.442247 0.974027 43.7137 0.19949"
91,19,8,6p z2,6,2,6,2500,38,8.478825e-04,1.6461,1.748e+10,"pole3=-3.142e+04",0.50006998,"-161.664 -15.2875","-3261.37 -3260.76 -31415.9 -94.9084 -415.26 -13.551","1.88598e-06 0.476558 0.128858 477.677 500.581 18815.7 0.223708 0.851105 0.111297"
91,19,8,7p z3,7,3,6,2500,38,4.210147e-04,0.7627,1.641e+11,"",0.50007216,"-60.3197 -257.102 -3.94378","-16652 -16659.2 -531.921 -48.1692 -1819.97 -151.737 -3.61358","1.0487e-06 0.338575 1.09587 0.0455553 59448.7 59689.2 1.60725 0.215117 8.07713 0.597147 0.0423249"
91,19,8,9p z4,9,4,6,2500,38,4.485277e-04,0.7067,1.581e+10,"",0.50008059,"-2.74329 -131.301 -36.6829 -374.838","-2.51329 -32.6255 -16761 -16972.2 -16780.6 -242.488 -93.8903 -628.59 -1702.4","1.57476e-06 0.0624618 2.7647 0.729458 7.23202 0.0583428 0.555888 5494.94 1569.5 5113.23 4.86954 1.49481 6.71983 11.2213"
91,21,10,3p z1,3,1,6,2500,37,3.995510e-03,3.2563,2.549e+07,"",0.49995456,"-113.425","-68.1842 -361.564 -3640.85","4.44224e-06 0.444866 0.197635 1.02856 69.6196"
91,21,10,6p z2,6,2,6,2500,37,9.728598e-04,1.4582,5.606e+09,"",0.50005282,"-170.039 -17.7045","-3668.84 -438.198 -98.4819 -3669.64 -27122.3 -15.6113","3.07997e-06 0.548407 0.15421 2370.67 1.01453 0.256981 2372.02 7107.42 0.13113"
91,21,10,9p z4,9,4,6,2500,37,3.234031e-04,0.7402,7.820e+11,"",0.50007169,"-3744.53 -59.1271 -252.941 -3.51295","-22874.3 -22451.4 -22343 -536.503 -149.399 -2634.81 -47.2672 -2652.73 -3.21364","2.43271e-06 1419.86 0.396817 1.44616 0.0521523 423836 135915 275112 2.71436 0.741952 28071 0.250071 29072 0.0486569"
91,23,20,3p z1,3,1,6,2500,37,3.007216e-03,2.5892,3.243e+07,"",0.49998374,"-137.534","-435.692 -4132.05 -75.4128","3.57461e-06 0.507756 1.22644 70.3225 0.199241"
91,23,20,6p z2,6,2,6,2500,37,1.151460e-03,1.2124,1.618e+10,"pole4=-3.142e+04",0.50005595,"-195.735 -20.4419","-105.092 -516.217 -4531.32 -31415.9 -4533.11 -17.8149","1.95242e-06 0.608699 0.192595 0.277859 1.15979 1788.71 16642.7 1782.35 0.160591"
91,25,26,3p z1,3,1,6,2500,38,3.691212e-03,2.5805,4.370e+07,"",0.49998432,"-147.477","-4596.29 -458.019 -77.6596","3.48545e-06 0.526281 90.503 1.30175 0.193842"
91,25,26,6p z2,6,2,6,2500,38,1.516996e-03,1.2610,1.903e+10,"pole1=-3.142e+04",0.50004048,"-204.702 -21.5246","-31415.9 -4973.75 -106.24 -4965.8 -537.833 -18.7401","2.07615e-06 0.644511 0.216522 17904.4 13058.3 0.289144 12975.4 1.26513 0.179737"
91,25,26,9p z4,9,4,6,2500,38,6.224033e-04,0.6323,3.148e+11,"",0.50005157,"-39.1726 -460.432 -150.127 -2.41622","-31302.3 -31381.2 -31296.9 -96.7215 -789.874 -34.8514 -288.697 -2593.7 -2.17758","1.14316e-06 1.03271 8.56092 2.68684 0.0800139 132752 99823.5 26718.3 1.38649 8.17741 0.791252 5.46242 19.679 0.0746471"
91,27,30,3p z1,3,1,6,2500,38,3.058505e-03,2.5155,4.306e+07,"",0.49996961,"-151.566","-464.662 -4716.55 -78.7188","3.63374e-06 0.536411 1.34284 89.8443 0.190372"
91,27,30,9p z4,9,4,6,2500,38,6.394849e-04,0.6646,4.319e+09,"pole1=-3.142e+04; pole2=-3.142e+04; pole4=-3.142e+04",0.50006418,"-1115.5 -245.749 -66.6854 -3.63245","-31415.7 -31415.6 -1850.87 -31415.9 -1826.58 -52.5829 -520.445 -142.669 -3.29234","1.41363e-06 12.1756 1.84932 0.644037 0.0376233 2051.78 1072.23 153.387 1026.43 148.382 0.358933 3.5133 1.07652 0.0348369"
91,29,40,3p z1,3,1,6,2500,38,3.432586e-03,2.6228,5.472e+07,"",0.49995841,"-163.132","-482.462 -5208.84 -81.0898","3.35464e-06 0.579724 1.45593 112.622 0.189633"
91,29,40,6p z2,6,2,6,2500,38,2.378013e-03,1.3297,1.277e+10,"pole1=-3.142e+04",0.50001488,"-206.532 -14.4808","-31415.9 -6083.99 -545.429 -100.457 -6085.54 -12.7763","2.16481e-06 0.549422 0.158812 13155.6 2468.95 1.21383 0.206587 2528.09 0.138502"
91,29,40,7p z3,7,3,6,2500,38,1.533938e-03,0.7054,2.224e+10,"pole3=-3.142e+04; pole5=-3.142e+04",0.50002839,"-317.533 -82.2243 -3.46199","-683.407 -171.568 -31415.9 -60.1637 -31415.9 -3318.61 -3.09501","1.88631e-06 1.47234 0.538144 0.0475569 2.01241 0.903958 10727.9 0.256859 6612.04 20.9607 0.0440328"
91,29,40,9p z4,9,4,6,2500,38,1.694777e-03,0.6633,9.692e+09,"pole1=-3.142e+04; pole2=-3.142e+04; pole7=-3.14e+04",0.50003834,"-421.266 -34.0492 -144.146 -1.91751","-31415.9 -31415.8 -261.008 -90.8379 -31.1008 -763.713 -31399.8 -3180.55 -1.68727","1.13947e-06 5.45004 0.437368 1.67237 0.0442525 910.912 3555.36 3.69144 0.652627 0.356353 5.33129 3622.58 24.9469 0.0416631"
