channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,21,10.0,fit,1238,sim,clean,optimum,5.9154115434070475e-05,6.359464986690816e-05,5.603413900436678e-07,0.76054,0.002109915685370849,50000,1.0750672104595467
31,23,20.0,fit,1238,sim,clean,optimum,4.9435234263327646e-05,5.5223717920842244e-05,5.278642270487549e-07,0.79206,0.001987625815593476,50000,1.1170922671607253
31,13,4.0,fit,1238,sim,clean,optimum,7.378606364169421e-05,7.72345948145587e-05,6.111113117416495e-07,0.70918,0.002301085311671832,50000,1.0467368904460141
31,15,5.0,fit,1238,sim,clean,optimum,6.957192129527492e-05,7.348467225496318e-05,6.016817951553133e-07,0.7233,0.0022655793053255493,50000,1.0562403752381926
31,11,3.0,fit,1238,sim,clean,optimum,6.474081159075041e-05,6.87574327676544e-05,5.844456192777137e-07,0.7411,0.002200678017492566,50000,1.0620415635549099
31,9,2.0,fit,1238,sim,clean,optimum,6.293367022050028e-05,6.778542734498304e-05,5.89453379627543e-07,0.74476,0.002219534293859835,50000,1.0770931856903259
31,1,0.6,fit,1238,sim,clean,optimum,8.932264904825615e-05,9.208025140672512e-05,6.592111730970121e-07,0.65328,0.0024822010631424377,50000,1.0308723754596574
31,19,8.0,fit,1239,sim,clean,optimum,5.923606485166759e-05,6.321222150388991e-05,5.592706802273221e-07,0.76198,0.0021058840227520794,50000,1.0671239161848272
31,7,1.8,fit,1238,sim,clean,optimum,6.166453461238687e-05,6.693558653827584e-05,5.783805456234567e-07,0.74796,0.0021778405218810977,50000,1.0854794730718709
31,17,6.0,fit,1239,sim,clean,optimum,6.499202209295475e-05,6.86830716970675e-05,5.806761566307471e-07,0.74138,0.0021864844410308406,50000,1.056792349049144
31,21,10.0,fit,1239,sim,clean,optimum,5.9154115434070475e-05,6.313786043330302e-05,5.599038790789033e-07,0.76226,0.0021082682767312576,50000,1.06734518756641
31,5,1.4,fit,1238,sim,clean,optimum,4.4988322803829135e-05,5.007155803017985e-05,5.039943978022391e-07,0.81146,0.0018977460957847665,50000,1.112990102976634
31,3,1.0,fit,1238,sim,clean,optimum,4.723832265751758e-05,5.257327690492417e-05,5.167160488265845e-07,0.80204,0.0019456483416602473,50000,1.1129369957965174
31,23,20.0,fit,1239,sim,clean,optimum,4.9435234263327646e-05,5.418266293262591e-05,5.23563576706384e-07,0.79598,0.001971432099091547,50000,1.096033299731322
31,13,4.0,fit,1239,sim,clean,optimum,7.378606364169421e-05,7.684154344145665e-05,6.0779709873662e-07,0.71066,0.00228860593726148,50000,1.0414099851511238
31,15,5.0,fit,1239,sim,clean,optimum,6.957192129527492e-05,7.283135713480705e-05,5.97070707771351e-07,0.72576,0.002248216665743848,50000,1.046849875335461
31,11,3.0,fit,1239,sim,clean,optimum,6.474081159075041e-05,6.946386293822977e-05,5.910280316728304e-07,0.73844,0.002225463506137183,50000,1.0729532304496805
31,9,2.0,fit,1239,sim,clean,optimum,6.293367022050028e-05,6.79075919609472e-05,5.818234715122961e-07,0.7443,0.002190804553211829,50000,1.0790343503409199
31,19,8.0,fit,1240,sim,clean,optimum,5.923606485166759e-05,6.277136658541056e-05,5.575751800889931e-07,0.76364,0.002099499767724747,50000,1.0596815764618341
31,17,6.0,fit,1240,sim,clean,optimum,6.499202209295475e-05,6.795008400128254e-05,5.797676762066091e-07,0.74414,0.0021830636387649366,50000,1.04551423102511
31,21,10.0,fit,1240,sim,clean,optimum,5.9154115434070475e-05,6.340343568539903e-05,5.591340395619032e-07,0.76126,0.0021053695144748947,50000,1.0718347357600941
31,1,0.6,fit,1239,sim,clean,optimum,8.932264904825615e-05,9.126227963026943e-05,6.671233224647115e-07,0.65636,0.0025119935581330455,50000,1.021714879738569
31,23,20.0,fit,1240,sim,clean,optimum,4.9435234263327646e-05,5.448010721497344e-05,5.239770236719706e-07,0.79486,0.0019729888968817158,50000,1.1020501475682944
31,7,1.8,fit,1239,sim,clean,optimum,6.166453461238687e-05,6.605918820635903e-05,5.720557576313424e-07,0.75126,0.002154025095021113,50000,1.0712671168540593
31,5,1.4,fit,1239,sim,clean,optimum,4.4988322803829135e-05,4.9625391606658566e-05,5.035983864676228e-07,0.81314,0.0018962549503128488,50000,1.1030727200711459
31,13,4.0,fit,1240,sim,clean,optimum,7.378606364169421e-05,7.705400364313343e-05,6.137185788368325e-07,0.70986,0.0023109027441118118,50000,1.0442893934186321
31,3,1.0,fit,1239,sim,clean,optimum,4.723832265751758e-05,5.164907502763008e-05,5.080783016829296e-07,0.80552,0.0019131236727557349,50000,1.0933723325040747
