channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
83,9,2.0,0.0031705730000000003,4.707560219685547e-05,67.35066223144531,658.9638890325558,44381.65431295128,sim,0.00010264476395554276,0.3864997327327728
83,7,1.8,0.0032488990000000004,5.062552372692153e-05,64.17512512207031,644.4627690689018,41358.47884151268,sim,0.00010832843965769474,0.4079011082649231
31,7,1.8,0.003555786,0.00017813527665566653,19.961156845092773,2511.3189684066574,50128.83181642187,sim,6.696582850676788e-05,0.2521538734436035
31,5,1.4,0.003880032,0.00016479201440233737,23.545024871826172,3166.262352615693,74549.72584306334,sim,5.0958461346023716e-05,0.19187955558300018
83,13,4.0,0.002496163,3.187324182363227e-05,78.31531524658203,770.9967341746001,60380.852290969015,sim,8.424685060317498e-05,0.31722402572631836
83,11,3.0,0.002789885,3.6669112887466326e-05,76.08269500732422,708.1803607635179,53880.27039814757,sim,9.154957737864002e-05,0.34472179412841797
31,23,20.0,0.00101821,4.2752431909320876e-05,23.816421508789062,2857.8281167065916,68063.239027153,sim,5.520406090320596e-05,0.20786598324775696
31,21,10.0,0.001585504,7.007622480159625e-05,22.62541961669922,2578.598765639894,58341.87909570525,sim,6.38115594904478e-05,0.2402767539024353
83,15,5.0,0.002248808,2.8019258024869487e-05,80.25936889648438,820.1113798003357,65821.62176759995,sim,7.913190575868921e-05,0.2979641556739807
83,17,6.0,0.002058808,2.6242705644108355e-05,78.45258331298828,881.3224612478526,69142.02381665504,sim,7.606959041569763e-05,0.28643327951431274
34,5,1.4,0.0023085469999999998,2.854041667887941e-05,80.8869400024414,312.381205394254,25267.559818615347,sim,0.00015455793126771728,0.5819741487503052
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,312.17540980019396,19093.94604734923,sim,0.00017617954981957875,0.6633884310722351
31,29,40.0,0.000618823,2.774705717456527e-05,22.30229377746582,2940.590688408304,65581.91741216245,sim,5.534222489859751e-05,0.20838622748851776
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,sim,0.00020145908517985752,0.7585762739181519
71,17,6.0,0.003818313,9.955225687008351e-05,38.3548583984375,1861.3601939698679,71392.20666820245,sim,7.208342479561284e-05,0.27142372727394104
71,19,8.0,0.0033632650000000003,8.564603194827214e-05,39.26935958862305,1954.1333437090266,76737.56495822807,sim,6.826790138562982e-05,0.25705671310424805
71,21,10.0,0.0030173459999999997,8.230554522015154e-05,36.66029739379883,2225.1592128911398,81574.9984931405,sim,6.194277401753635e-05,0.233240008354187
71,23,20.0,0.002002852,4.813056511920877e-05,41.612892150878906,2521.1824038769587,104913.6914652255,sim,4.894449148623834e-05,0.1842961311340332
