channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_mean,lambda_median,lambda_min,lambda_max,BI,J_final
31,25,26.0,0.0008496350000000001,4.492268635658547e-05,18.913270950317383,2897.3350908060006,54798.083606276305,20.940797805786133,12.992581367492676,0.004625337664037943,373.2905578613281,5.8170639317932646e-05,0.21903637051582336
34,9,2.0,0.002440126,2.9664797693840228e-05,82.2566146850586,323.44091406213505,26605.154641392193,257.5364990234375,0.05439678952097893,0.017639033496379852,167234.46875,0.00012995508408169973,0.4893343150615692
31,13,4.0,0.002568738,0.0001421061751898378,18.076189041137695,2257.260195226921,40802.66200395721,3.9279277324676514,2.9295270442962646,0.0035615586675703526,68.73587799072266,7.953813077879468e-05,0.2994937598705292
31,15,5.0,0.002313303,0.0001298463175771758,17.81570053100586,2358.002340164059,42009.46354377389,5.395169734954834,3.89467716217041,0.0027351516764611006,112.13860321044922,7.614709173857874e-05,0.28672510385513306
34,5,1.4,0.0023085469999999998,3.500017191981897e-05,65.95816802978516,316.7356221618394,20891.301387569147,106.86937713623047,0.1261962354183197,3.2937583682723925e-07,100564.703125,0.0001453827307415158,0.5474257469177246
34,3,1.0,0.002058465,4.043200897285715e-05,50.911766052246094,317.6681876347716,16173.048451102506,87.52771759033203,0.11237788945436478,5.589190621435591e-08,83200.375,0.00014538146438003083,0.5474209785461426
37,1,0.6,0.005924068,0.0005906336009502411,10.030021667480469,1119.5855174270816,11229.46699839096,26.862167358398438,0.5882490873336792,5.166613092910666e-08,13731.748046875,0.00014136714596118294,0.5323054194450378
37,3,1.0,0.005221188,0.0004138150834478438,12.61720085144043,987.3273290085704,12457.30721621734,85.98123931884766,0.5526348352432251,7.695823711628691e-08,25353.92578125,0.00014272047482114967,0.5374012589454651
34,25,26.0,0.000980923,1.0217117960564792e-05,96.00779724121094,778.2597664446496,74719.0058578101,296.2347412109375,0.11555509269237518,0.014360543340444565,85693.390625,6.375961096790592e-05,0.24008114635944366
34,23,20.0,0.0011531739999999999,1.0723270861490164e-05,107.53938293457031,698.8630176744479,75155.29767650182,668.8424682617188,1.050389051437378,0.020043184980750084,451150.40625,7.401662849431363e-05,0.2787030339241028
31,23,20.0,0.00101821,5.198911458137445e-05,19.585060119628906,2805.959854061136,54954.8924350525,15.430032730102539,9.785165786743164,0.005302042700350285,302.0916748046875,5.960593738239469e-05,0.22444085776805878
31,21,10.0,0.001585504,8.446811989415437e-05,18.770442962646484,2586.46235760439,48549.04415844536,10.422983169555664,7.107676029205322,0.003992025274783373,176.8382110595703,6.660358580398782e-05,0.2507898807525635
34,1,0.6,0.001562028,4.789804734173231e-05,32.611515045166016,355.32236735575106,11587.600728906082,65.57926177978516,0.17002594470977783,4.808185849469737e-08,16445.412109375,0.00014402316505123552,0.5423064231872559
31,29,40.0,0.000618823,3.3462867577327415e-05,18.492826461791992,2976.0950433382454,55036.40917025349,30.725008010864258,18.761394500732422,0.00329890800639987,344.9972229003906,5.645937338423482e-05,0.21259275078773499
37,5,1.4,0.004787576,0.0003390419587958604,14.120895385742188,1045.9150828347128,14769.257467078854,100.79167175292969,0.5088301301002502,6.240356498210531e-08,29816.9296875,0.00014250090356917176,0.5365744829177856
37,7,1.8,0.004544228000000001,0.00029190650093369186,15.567408561706543,1133.5706616190323,17646.757622987476,97.0520248413086,0.6138802766799927,6.665364793434492e-08,23248.5703125,0.00014311151141819457,0.5388736724853516
34,21,10.0,0.001688306,1.3504045455192681e-05,125.0222396850586,527.718216405722,65976.5133376478,137.69393920898438,0.0721440464258194,0.014954520389437675,191864.203125,7.447023917823539e-05,0.2804110646247864
