# Load-curve quantities extracted from the Excel (run 205, 25 mK), one row per (channel, bias). Units: V in V, I in A, R in Ohm.
channel,bias_V,V_bol_V,I_bol_A,R_bol_Ohm,R_load_Ohm
78,8.000,0.00329937,3.86848e-09,852885,2.069e+09
78,10.000,0.00337396,4.83391e-09,697976,2.069e+09
78,20.000,0.0035036,9.6624e-09,362601,2.069e+09
78,26.000,0.00352382,1.24443e-08,283168,2.069e+09
78,30.000,0.00352717,1.43731e-08,245400,2.069e+09
78,40.000,0.00350948,1.92035e-08,182752,2.069e+09
78,50.000,0.0034631,2.40196e-08,144178,2.069e+09
79,0.600,0.00828437,2.88877e-10,2.86779e+07,2.069e+09
79,1.000,0.00826739,4.82428e-10,1.71371e+07,2.069e+09
79,1.400,0.00815041,6.75345e-10,1.20685e+07,2.069e+09
79,1.800,0.00804665,8.65773e-10,9.29418e+06,2.069e+09
79,2.000,0.00800209,9.64624e-10,8.29555e+06,2.069e+09
79,3.000,0.00783104,1.44674e-09,5.4129e+06,2.069e+09
79,4.000,0.00771747,1.93023e-09,3.99822e+06,2.069e+09
79,5.000,0.00763857,2.41423e-09,3.16397e+06,2.069e+09
79,6.000,0.00757269,2.89977e-09,2.61148e+06,2.069e+09
79,8.000,0.0075025,3.86399e-09,1.94165e+06,2.069e+09
79,10.000,0.00745264,4.83195e-09,1.54237e+06,2.069e+09
79,20.000,0.00737297,9.66555e-09,762809,2.069e+09
79,26.000,0.00737385,1.25627e-08,586962,2.069e+09
79,30.000,0.00737706,1.44989e-08,508800,2.069e+09
79,40.000,0.00737734,1.93237e-08,381777,2.069e+09
79,50.000,0.0073697,2.41422e-08,305262,2.069e+09
80,0.600,0.00635739,2.87077e-10,2.21452e+07,2.069e+09
80,1.000,0.00745951,4.79734e-10,1.55492e+07,2.069e+09
80,1.400,0.00793522,6.76155e-10,1.17358e+07,2.069e+09
80,1.800,0.00815346,8.68109e-10,9.39221e+06,2.069e+09
80,2.000,0.00822514,9.64507e-10,8.52782e+06,2.069e+09
80,3.000,0.00837137,1.445e-09,5.79335e+06,2.069e+09
80,4.000,0.00839082,1.92824e-09,4.35154e+06,2.069e+09
80,5.000,0.00836709,2.41476e-09,3.46497e+06,2.069e+09
80,6.000,0.00832676,2.8969e-09,2.87437e+06,2.069e+09
80,8.000,0.00823165,3.86234e-09,2.13126e+06,2.069e+09
80,10.000,0.00814212,4.83206e-09,1.68502e+06,2.069e+09
80,20.000,0.00780201,9.66281e-09,807426,2.069e+09
80,26.000,0.00766599,1.25641e-08,610148,2.069e+09
80,30.000,0.00758643,1.44982e-08,523269,2.069e+09
80,40.000,0.00741602,1.9323e-08,383792,2.069e+09
80,50.000,0.00727124,2.41386e-08,301228,2.069e+09
81,0.600,0.00831505,2.88857e-10,2.87861e+07,2.069e+09
81,1.000,0.00839995,4.82436e-10,1.74115e+07,2.069e+09
81,1.400,0.0083519,6.76572e-10,1.23444e+07,2.069e+09
81,1.800,0.00828604,8.68726e-10,9.53816e+06,2.069e+09
81,2.000,0.00825838,9.65951e-10,8.54948e+06,2.069e+09
81,3.000,0.0081397,1.44856e-09,5.61918e+06,2.069e+09
81,4.000,0.00805775,1.93246e-09,4.16969e+06,2.069e+09
81,5.000,0.00800135,2.41133e-09,3.31823e+06,2.069e+09
81,6.000,0.00795701,2.89668e-09,2.74694e+06,2.069e+09
81,8.000,0.00789805,3.86606e-09,2.04292e+06,2.069e+09
81,10.000,0.00785981,4.82905e-09,1.62761e+06,2.069e+09
81,20.000,0.0078017,9.66212e-09,807452,2.069e+09
81,26.000,0.0078044,1.25677e-08,620987,2.069e+09
81,30.000,0.00780473,1.44947e-08,538454,2.069e+09
