channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final
91,3,1.0,0.001998614,6.210556603036821e-05,32.18091583251953,617.7776944076815,19880.651986941568,16.73741340637207,sim,0,,36,0.05988627874832218,0.05558841486863564,wna:1.0,0.00014797012886860075,0.5571683645248413
91,5,1.4,0.001870085,5.715181032428518e-05,32.72135925292969,631.9731000191398,20679.01884391394,24.749418258666992,sim,0,,36,0.052885021902837455,0.04773913914280457,wna:1.0,0.00014402693247665335,0.5423206090927124
91,27,30.0,0.00035906,2.9814465960953385e-05,12.043148040771484,1295.25984711598,15599.006090084786,95.26073455810547,sim,0,,38,0.09080363592861823,0.0901713111283009,wna:1.0,0.00015323537499183573,0.5769941806793213
91,29,40.0,0.000280232,2.5866484065772966e-05,10.83378791809082,1479.8967677626301,16032.887722608439,114.09576416015625,sim,0,,38,0.0984981866100088,0.09794974096982015,wna:1.0,0.00014920699996050452,0.561825692653656
91,25,26.0,0.00040550199999999997,3.1737487006466836e-05,12.776752471923828,1277.4826489725292,16322.079593099563,107.94234466552734,sim,0,,38,0.08551895996179662,0.08519306168485703,wna:1.0,0.00015162271112926257,0.5709218382835388
91,23,20.0,0.0005004920000000001,3.2514974009245634e-05,15.392662048339844,1151.3274265880527,17721.993984454697,124.07776641845703,sim,0,,37,0.0722210422726053,0.07186761925393415,wna:1.0,0.00014650849444263067,0.5516647100448608
91,17,6.0,0.001091107,4.567604628391564e-05,23.887948989868164,885.2820281881934,21147.571931006594,119.78876495361328,sim,0,,37,0.047687401552354715,0.04677246535206031,wna:1.0,0.00014204729288525,0.534866452217102
91,15,5.0,0.001194072,4.802725015906617e-05,24.862384796142578,861.377299475163,21415.893874213645,127.07622528076172,sim,0,,38,0.04567060542859191,0.044658925233504704,wna:1.0,0.0001407760400790289,0.5300796627998352
34,1,0.6,0.001562028,3.868182102451101e-05,40.38145065307617,397.14152998468404,16037.15109536369,1.5815205574035645,sim,0,,37,0.08811215236425465,0.08394298810615115,wna:1.0,0.0001859703286636316,0.7002547383308411
34,3,1.0,0.002058465,3.367077079019509e-05,61.13507080078125,352.9163680788491,21575.567149255014,0.7439116835594177,sim,0,,36,0.07760502936816906,0.0728093607414535,wna:1.0,0.00016321419268689036,0.6145685315132141
34,25,26.0,0.000980923,8.436772986897267e-06,116.2675552368164,786.3244330167521,91424.01944983356,8.46786880493164,sim,0,,38,0.029283919072151988,0.021159705569161014,wna:1.0,6.329153606139785e-05,0.23831865191459656
34,27,30.0,0.0008928300000000001,8.881695066520479e-06,100.52472686767578,881.7528972045684,88637.96915627104,8.287700653076172,sim,0,,38,0.03058382480501819,0.021801287169605086,wna:1.0,6.25312363700905e-05,0.23545581102371216
34,11,3.0,0.0024210790000000005,2.6697605790104717e-05,90.68524932861328,450.39604134742393,40844.27730621156,3.7672510147094727,sim,0,,38,0.03604143827565348,0.028981001614994326,wna:1.0,0.00011182058974772747,0.421050488948822
91,9,2.0,0.00169956,5.22737464052625e-05,32.51268768310547,653.0032020508747,21230.889164347907,37.33121871948242,sim,0,,38,0.04782465586109015,0.04318358901688639,wna:1.0,0.00014119974880238644,0.5316751003265381
91,7,1.8,0.001754325,5.122290531289764e-05,34.248836517333984,617.1145678587076,21135.455947058086,32.946189880371094,sim,0,,39,0.04864326867303905,0.043644125156406206,wna:1.0,0.00014188844366647715,0.534268319606781
34,9,2.0,0.002440126,2.5115365133387968e-05,97.15669250488281,344.39689100229435,33460.46283874755,2.8383986949920654,sim,0,,38,0.04114517117548021,0.034365277210077205,wna:1.0,0.00012921476915757728,0.48654672503471375
91,21,10.0,0.000809598,4.511109000304714e-05,17.946762084960938,1053.8879047732637,18913.87549118373,125.2934341430664,sim,0,,37,0.06180089258893997,0.06133787951950182,wna:1.0,0.00014598491728666347,0.54969322681427
91,19,8.0,0.000927844,4.741638258565217e-05,19.56800651550293,996.1053844893105,19491.796653814377,155.76914978027344,sim,0,,38,0.05627083412365828,0.05574736747175639,wna:1.0,0.00014466747394527752,0.5447325110435486
