channel,wp,vbias,model,npol,cc,nzer,t0,amp,baseline,tilt,rms,sigma_baseline,params
71,21,10,6p+cc-z4,6,1,4,0.499695,408.014,0.000657583,0.00131614,0.00151393,9.62929e-05,0.499695;408.01415;0.00065758313;0.0013161369;-216.37107;-18790.877;-18328.424;-991.59987;-4323.1135;-4292.1009;-4292.8824;-94.928975;-989.60597;6.2162258
71,23,20,6p+cc-z4,6,1,4,0.499768,227.852,0.000413935,0.00100777,0.000600552,0.000100662,0.49976757;227.85193;0.00041393539;0.001007774;-42599.424;-42508.863;-780.96891;-104.51624;-7760.9976;-354.30608;-7761.37;-64.340621;-2636.4567;22.59346
71,25,26,4p-z2,4,0,2,0.499858,848.527,0.000568793,0.00105525,0.00160787,0.000107012,0.49985823;848.52652;0.0005687931;0.0010552523;-69643.569;-260.73317;-6366.2541;-6366.037;-1031.435;-116.02725
71,27,30,6p+cc-z4,6,1,4,0.499813,304.609,0.000404075,0.000966466,0.000676504,0.000106724,0.499813;304.60888;0.00040407472;0.00096646618;-50267.394;-981.151;-50421.689;-119.48228;-10343.144;-10342.462;-419.42489;-71.883804;-2932.351;30.477358
71,29,40,6p+cc-z4,6,1,4,0.499902,1922.22,0.000541412,0.000990573,0.00137656,0.000111028,0.49990166;1922.2229;0.000541412;0.00099057305;-21614.361;-1004.565;-24129.87;-260.03625;-8981.8277;-8980.94;-8955.9027;-119.86329;-1002.6515;22.883922
83,1,0.6,6p+cc-z4,6,1,4,0.498965,55.7108,-1.85236e-05,-0.000135307,0.00052978,0.000235567,0.49896516;55.71081;-1.8523619e-05;-0.00013530743;-43686.504;-34.08456;-724.36594;-1.6238671;-2517.7907;-30.162434;-87.834684;-1.2042616;-724.23185;1.0000002
83,3,1,6p+cc-z4,6,1,4,0.499108,71.6979,0.00162305,0.0051632,0.00101707,0.000210702,0.49910752;71.697887;0.0016230516;0.005163202;-28406.251;-2342.3636;-2338.0215;-35.862316;-1127.7204;-1127.7198;-29.523146;-121.64761;-1879.1655;1726.1148
83,5,1.4,6p+cc-z4,6,1,4,0.499216,67.6598,0.00149813,0.00457682,0.000985272,0.00018511,0.49921619;67.659813;0.0014981263;0.0045768178;-30407.163;-2060.4137;-6087.2752;-51.699568;-1334.8296;-157.26813;-1334.8699;-40.517768;-2445.2953;2150.3762
83,7,1.8,6p+cc-z4,6,1,4,0.499377,198.355,0.00139787,0.00411179,0.000988108,0.000201693,0.49937721;198.3555;0.0013978652;0.0041117946;-24409.616;-1218.8341;-63.706896;-189.76308;-1088.9827;-1984.1543;-1983.316;-48.305339;-189.75075;1.0001063
83,9,2,4p-z2,4,0,2,0.499371,54.8109,0.00130802,0.00389541,0.000982155,0.000196945,0.49937089;54.810936;0.0013080181;0.003895414;-100000;-67.839583;-202.8911;-1519.33;-2617.5601;-50.968741
83,11,3,6p+cc-z4,6,1,4,0.49943,53.4728,0.0012469,0.00346023,0.000919699,0.000193669,0.49942961;53.472762;0.001246897;0.0034602337;-29290.668;-88.911186;-27755.858;-3582.7636;-2053.1781;-2053.2881;-269.58743;-63.84865;-3945.3542;3274.2567
