channel,wp,vbias,signal_amp,sigma_analytic,SNR,BI,J_final,beta_Hz,rho_t,sigma_t_ms
34,5,1.4,0.0023085469999999,3.500017191981897e-05,65.95816802978516,0.0001713713968743,0.6452837586402893,53.66670059722429,3539.7572555958914,0.044962106607816764
34,7,1.8,0.0024120219999999,3.4627755667315796e-05,69.65574645996094,0.0001580218889851,0.5950173735618591,58.87679602595884,4101.107176359024,0.03880779902786973
34,9,2.0,0.002440126,2.9664797693840228e-05,82.2566146850586,0.0001516204791671,0.5709134340286255,53.344080846722335,4387.903503937453,0.036271295152475166
34,11,3.0,0.002421079,2.385022526141256e-05,101.51178741455078,0.0001310381159974,0.4934123754501343,56.26522196587863,5711.583251032785,0.027865293404086597
34,13,4.0,0.002317061,2.2700782210449688e-05,102.06964874267578,0.0001180179016681,0.4443859159946441,66.1489451239901,6751.799593504205,0.02357222558042387
34,15,5.0,0.002204652,1.9705670638359152e-05,111.87905883789062,0.0001094182940959,0.4120048582553863,69.16242387175807,7737.826889719552,0.0205684290124593
34,17,6.0,0.002072425,1.7040667444234714e-05,121.6164321899414,0.0001043268165127,0.3928333520889282,70.25067250988586,8543.636149596314,0.0186284785898116
34,19,8.0,0.0018584769999999,1.4692903278046288e-05,126.48807525634766,9.60869189203054e-05,0.3618067502975464,77.01110735842109,9740.986743126636,0.016338687988072368
34,21,10.0,0.001688306,1.350404545519268e-05,125.0222396850586,9.088916194946088e-05,0.3422350585460663,84.4279048578743,10555.365757248483,0.015078107831801276
34,23,20.0,0.0011531739999999,1.0723270861490164e-05,107.53938293457033,7.912007319356388e-05,0.2979196012020111,111.57050923434478,11998.223716757218,0.013264875438987933
34,25,26.0,0.000980923,1.0217117960564792e-05,96.00779724121094,7.60564123414945e-05,0.2863836586475372,124.17726193534459,11921.985385857304,0.013349701240256183
34,27,30.0,0.00089283,1.0501011274755e-05,85.02323913574219,7.465815139308865e-05,0.281118631362915,136.90156285284974,11639.814316494683,0.01367332319608898
34,29,40.0,0.000737938,9.796674021345098e-06,75.32536315917969,7.312582233721925e-05,0.2753487825393677,146.2272107943198,11014.61775683606,0.014449429531326058
71,1,0.6,0.004321273,0.000233729937463,18.48831558227539,0.0001703628507581,0.6414861679077148,185.62116725888555,3431.8227190326,0.04637621349413984
