channel,wp,vbias,gen,seed,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,7,1.8,fit,1477,sim,clean,wiener,6.143588117413385e-05,6.925140273655296e-05,5.888236235735267e-07,0.73924,0.002217163003428795,50000,1.127214282810835
31,5,1.4,fit,1531,sim,clean,wiener,4.810016079564292e-05,5.2610457440217615e-05,5.165693038298075e-07,0.8019,0.0019450957864216893,50000,1.0937688475457914
31,11,3.0,fit,1423,sim,clean,wiener,6.406265522864255e-05,7.25286013474176e-05,6.012070729077881e-07,0.7269,0.002263791780909104,50000,1.1321510338364793
31,3,1.0,fit,1558,sim,clean,wiener,4.997187868686804e-05,5.377367704439808e-05,5.205593683726289e-07,0.79752,0.00196012001970898,50000,1.0760787558409146
31,9,2.0,fit,1477,sim,clean,wiener,6.242440690669306e-05,7.0111866553344e-05,5.907316052087722e-07,0.736,0.0022243473386414593,50000,1.1231483009224505
31,1,0.6,fit,1585,sim,clean,wiener,8.450434146686892e-05,9.671719530832126e-05,6.790705011413337e-07,0.63582,0.0025569795972399706,50000,1.1445233893248026
31,5,1.4,fit,1558,sim,clean,wiener,4.810016079564292e-05,5.188278124947455e-05,5.121968006410183e-07,0.80464,0.0019286315144148663,50000,1.078640494985087
31,7,1.8,fit,1504,sim,clean,wiener,6.143588117413385e-05,6.998439043233791e-05,5.859462635060008e-07,0.73648,0.0022063285599148875,50000,1.139145220916978
31,11,3.0,fit,1450,sim,clean,wiener,6.406265522864255e-05,7.262420843817217e-05,5.991819754268997e-07,0.72654,0.0022561664563922083,50000,1.1336434335881496
31,9,2.0,fit,1504,sim,clean,wiener,6.242440690669306e-05,7.123790562223105e-05,5.96357765333788e-07,0.73176,0.0022455321443814987,50000,1.1411867433312053
31,3,1.0,fit,1585,sim,clean,wiener,4.997187868686804e-05,5.379492306456575e-05,5.212634846553815e-07,0.79744,0.0019627713069701068,50000,1.0765039153651503
31,1,0.6,fit,1612,sim,clean,wiener,8.450434146686892e-05,9.593109256211711e-05,6.792423026629078e-07,0.63878,0.002557626500594926,50000,1.135220876192831
31,5,1.4,fit,1585,sim,clean,wiener,4.810016079564292e-05,5.188278124947455e-05,5.133365244264154e-07,0.80464,0.0019329230429982038,50000,1.078640494985087
31,7,1.8,fit,1531,sim,clean,wiener,6.143588117413385e-05,7.046773739115264e-05,5.925297132806514e-07,0.73466,0.0022311179547199076,50000,1.147012723581174
31,11,3.0,fit,1477,sim,clean,wiener,6.406265522864255e-05,7.172656408608768e-05,5.992072476804226e-07,0.72992,0.002256261616815943,50000,1.1196314581419125
31,9,2.0,fit,1531,sim,clean,wiener,6.242440690669306e-05,7.140256227853056e-05,5.987614411461769e-07,0.73114,0.002254582971947013,50000,1.143824440098523
31,3,1.0,fit,1612,sim,clean,wiener,4.997187868686804e-05,5.3938333700697586e-05,5.189095235263098e-07,0.7969,0.0019539076756245896,50000,1.0793737421537422
31,5,1.4,fit,1612,sim,clean,wiener,4.810016079564292e-05,5.169687857300737e-05,5.105786240114511e-07,0.80534,0.0019225384141850967,50000,1.0747755873965863
